id,title,description,category,location_name,location_address,current_lat,current_lon,lat,lon,date,time,organizer,attendees,maxAttendees,needs_geocoding
1,Jazz Night at Blue Note,Live jazz performance featuring local artists. Enjoy smooth melodies and great cocktails.,music,Blue Note Jazz Club,"123 Music Street, Downtown",59.436962,24.753574,40.731,-74.003,2024-02-15,20:00,Event Organizer,53,,True
2,Food Truck Festival,A celebration of local cuisine with over 20 food trucks serving delicious street food.,other,Central Park,"Central Park, Manhattan",59.436962,24.753574,59.4416,24.7947,2024-02-16,12:00,Event Organizer,112,,True
3,Basketball Championship,Final game of the season. Don't miss the exciting match between top teams.,other,Sports Arena,456 Sports Avenue,59.436962,24.753574,59.437,24.754,2024-02-17,19:30,Event Organizer,69,,True
4,Art Gallery Opening,Exhibition featuring contemporary artists from around the world.,other,Modern Art Gallery,789 Art Street,59.436962,24.753574,59.4378,24.7536,2024-02-18,18:00,Event Organizer,58,,True
9,Photography Workshop,Learn advanced photography techniques from professional photographers.,business,Creative Studio,147 Art District,59.436962,24.753574,59.437,24.754,2024-02-23,14:00,Event Organizer,87,,True
10,Tech Startup Meetup,Meet fellow entrepreneurs and discuss the latest in technology trends.,other,Innovation Hub,258 Tech Park,59.436962,24.753574,59.436962,24.753574,2024-02-24,18:30,Event Organizer,20,,True
imported-1755246058431-qqr76qq0p,telliskivi väljak,Location: telliskivi väljak,other,telliskivi väljak,telliskivi väljak,59.436962,24.753574,59.4378,24.7536,2025-08-11,12:00,Local Organizer,141,,True
imported-1755246058431-35hpo9t0b,Tallinna Tehnikaülikool (TalTech),Location: Tasuta välitreeningud Nõmmel,other,Tasuta välitreeningud Nõmmel,Tasuta välitreeningud Nõmmel,59.436962,24.753574,59.3959,24.6719,2025-08-11,12:00,Local Organizer,168,,True
imported-1755246058431-b1i157qsf,Tallinna Linnamuuseumi linnalaager 11.–13. augustil Muuseum loeb,Location: Tallinna Linnaelumuuseum,art,Tallinna Linnaelumuuseum,Tallinna Linnaelumuuseum,59.436962,24.753574,59.4372,24.7453,2025-08-11,12:00,Local Organizer,110,,True
imported-1755246058431-e7vqa2ts7,Tallinna Linnaelumuuseum,Location: Tallinna Linnaelumuuseum,art,Tallinna Linnaelumuuseum,Tallinna Linnaelumuuseum,59.436962,24.753574,59.4372,24.7453,2025-08-11,12:00,Local Organizer,157,,True
